Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
05/03/93,25.24590727,25.35124485,25.12301342,25.14056969,40000,5,4,9,3,1993
08/03/93,25.19322683,25.70235825,25.19322683,25.70235825,50800,8,0,10,3,1993
09/03/93,25.64969458,25.66725084,25.56191328,25.61458206,169300,9,1,10,3,1993
10/03/93,25.61459042,25.66725922,25.50925283,25.66725922,194400,10,2,10,3,1993
11/03/93,25.6848043,25.75502933,25.5619105,25.59702301,70900,11,3,10,3,1993
12/03/93,25.38634988,25.40390614,25.17567478,25.33368111,643600,12,4,10,3,1993
15/03/93,25.31614239,25.45659256,25.31614239,25.45659256,310800,15,0,11,3,1993
16/03/93,25.45659256,25.52681764,25.45659256,25.45659256,30800,16,1,11,3,1993
17/03/93,25.42146637,25.42146637,25.26346002,25.29857254,21800,17,2,11,3,1993
18/03/93,25.40392375,25.56193018,25.40392375,25.45659256,59300,18,3,11,3,1993
19/03/93,25.55916416,25.55916416,25.41805077,25.41805077,66900,19,4,11,3,1993
22/03/93,25.17109674,25.32984928,25.15345757,25.27693176,183400,22,0,12,3,1993
23/03/93,25.34749605,25.36513522,25.29457852,25.32985687,55200,23,1,12,3,1993
24/03/93,25.29457852,25.43569193,25.17110429,25.32985687,37200,24,2,12,3,1993
25/03/93,25.34751487,25.54154596,25.3122365,25.48862839,110100,25,3,12,3,1993
26/03/93,25.47097027,25.48860944,25.32985686,25.34749603,101500,26,4,12,3,1993
29/03/93,25.36513131,25.57680139,25.36513131,25.45332718,87100,29,0,13,3,1993
30/03/93,25.48862642,25.5239048,25.45334805,25.5239048,56000,30,1,13,3,1993
31/03/93,25.59445201,25.66500873,25.5062561,25.5062561,111600,31,2,13,3,1993
01/04/93,25.54152499,25.54152499,25.36513324,25.41805077,129500,1,3,13,4,1993
02/04/93,25.20637532,25.20637532,24.88887024,24.88887024,59400,2,4,13,4,1993
05/04/93,25.08291635,25.08291635,24.94180289,25.01235962,172200,5,0,14,4,1993
06/04/93,25.065283,25.065283,24.87125196,24.9418087,129700,6,1,14,4,1993
07/04/93,24.97706791,25.02998543,24.92415039,25.02998543,28000,7,2,14,4,1993
08/04/93,25.13581857,25.13581857,24.88887017,24.9947052,180800,8,3,14,4,1993
12/04/93,25.24166098,25.36513521,25.20638262,25.34749603,348500,12,0,15,4,1993
13/04/93,25.32985491,25.48860748,25.31221573,25.40041161,146100,13,1,15,4,1993
14/04/93,25.41805081,25.43568998,25.34749411,25.36513329,119600,14,2,15,4,1993
15/04/93,25.34749411,25.41805081,25.25929824,25.36513329,148600,15,3,15,4,1993
16/04/93,25.38277246,25.41805081,25.32985494,25.36513329,47900,16,4,15,4,1993
19/04/93,25.36513912,25.43569583,25.24166487,25.25930405,157000,19,0,16,4,1993
20/04/93,25.22402965,25.25930801,24.97708111,25.13583374,279500,20,1,16,4,1993
21/04/93,25.18875322,25.18875322,25.04763976,25.11819649,67900,21,2,16,4,1993
22/04/93,25.01235603,25.22402618,24.80068588,24.80068588,97700,22,3,16,4,1993
23/04/93,24.74776464,24.81832134,24.65956875,24.69484711,106000,23,4,16,4,1993
26/04/93,24.71249224,24.80068814,24.43026534,24.50082207,62600,26,0,17,4,1993
27/04/93,24.46554152,24.76540756,24.46554152,24.76540756,156800,27,1,17,4,1993
28/04/93,24.73012353,24.78304106,24.67720601,24.71248436,85900,28,2,17,4,1993
29/04/93,24.76539799,24.81831551,24.62428461,24.81831551,85000,29,3,17,4,1993
30/04/93,24.9065209,24.9947168,24.85360336,24.85360336,88500,30,4,17,4,1993
03/05/93,24.88888535,25.01235962,24.78305026,25.01235962,80500,3,0,18,5,1993
04/05/93,25.06527706,25.18875133,25.02999869,25.10055542,149100,4,1,18,5,1993
05/05/93,25.10054582,25.2592984,25.10054582,25.17110252,109000,5,2,18,5,1993
06/05/93,25.13582043,25.1534596,25.06526374,25.08290291,54700,6,3,18,5,1993
07/05/93,25.10054212,25.10054212,24.99470708,25.02998543,68000,7,4,18,5,1993
10/05/93,25.06526374,25.22401629,25.06526374,25.08290291,113900,10,0,19,5,1993
11/05/93,25.08290474,25.18873978,25.01234804,25.18873978,42600,11,1,19,5,1993
12/05/93,25.08290857,25.17110445,25.08290857,25.15346527,31000,12,2,19,5,1993
13/05/93,25.04763433,25.04763433,24.83596418,24.85360336,129100,13,3,19,5,1993
14/05/93,24.85358811,24.92414479,24.81830978,24.83594894,63500,14,4,19,5,1993
17/05/93,24.90652464,24.92416382,24.80068955,24.92416382,34000,17,0,20,5,1993
18/05/93,24.94179347,24.95943265,24.81831925,24.90651512,105200,18,1,20,5,1993
19/05/93,24.9065147,25.41805077,24.74776213,25.41805077,50200,19,2,20,5,1993
20/05/93,25.41807163,25.48862839,25.36515406,25.48862839,98200,20,3,20,5,1993
21/05/93,25.50625255,25.54153091,25.24166487,25.25930405,221400,21,4,20,5,1993
24/05/93,25.31221576,25.45332916,25.31221576,25.36513329,30500,24,0,21,5,1993
25/05/93,25.47096829,25.47096829,25.41805077,25.41805077,191800,25,1,21,5,1993
26/05/93,25.48861287,25.75320055,25.47097369,25.73556137,102400,26,2,21,5,1993
27/05/93,25.77084174,25.77084174,25.61208912,25.64736748,53800,27,3,21,5,1993
28/05/93,25.62973993,25.62973993,25.40043049,25.5239048,79100,28,4,21,5,1993
01/06/93,25.61208329,25.85903176,25.57680494,25.77083588,28300,1,1,22,6,1993
02/06/93,25.70028301,25.82375726,25.59444794,25.73556137,20300,2,2,22,6,1993
03/06/93,25.68264584,25.68264584,25.59444994,25.64736748,21600,3,3,22,6,1993
04/06/93,25.57679559,25.57679559,25.4533214,25.55915642,32000,4,4,22,6,1993
07/06/93,25.61208356,25.61208356,25.47097015,25.47097015,121400,7,0,23,6,1993
08/06/93,25.40042709,25.40042709,25.24167442,25.24167442,104500,8,1,23,6,1993
09/06/93,25.32985687,25.43569193,25.29457852,25.32985687,43300,9,2,23,6,1993
10/06/93,25.31221768,25.36513521,25.25930015,25.34749603,17900,10,3,23,6,1993
11/06/93,25.43568801,25.48860553,25.34749214,25.45332718,647400,11,4,23,6,1993
14/06/93,25.48860746,25.50624664,25.41805077,25.41805077,64200,14,0,24,6,1993
15/06/93,25.45332916,25.47096833,25.36513329,25.36513329,142400,15,1,24,6,1993
16/06/93,25.36513324,25.41805077,25.29457654,25.41805077,330900,16,2,24,6,1993
17/06/93,25.47097774,25.5062561,25.4180602,25.5062561,37400,17,3,24,6,1993
18/06/93,25.49161929,25.49161929,25.29621315,25.29621315,58500,18,4,24,6,1993
21/06/93,25.36726676,25.36726676,25.31397418,25.34950256,29300,21,0,25,6,1993
22/06/93,25.38502608,25.38502608,25.33173351,25.36726189,137500,22,1,25,6,1993
23/06/93,25.3672622,25.3672622,25.13632774,25.13632774,227600,23,2,25,6,1993
24/06/93,25.20738927,25.47385216,25.20738927,25.47385216,243700,24,3,25,6,1993
25/06/93,25.45608139,25.52713814,25.4383172,25.45608139,44800,25,4,25,6,1993
28/06/93,25.58043675,25.74031448,25.54490837,25.74031448,439900,28,0,26,6,1993
29/06/93,25.70478776,25.70478776,25.58043841,25.6159668,207500,29,1,26,6,1993
30/06/93,25.65149518,25.70478776,25.58043841,25.6159668,437600,30,2,26,6,1993
01/07/93,25.65148985,25.65148985,25.50937633,25.54490471,605700,1,3,26,7,1993
02/07/93,25.45608264,25.47384683,25.31396913,25.40279007,285400,2,4,26,7,1993
06/07/93,25.3672622,25.43831896,25.10079937,25.13632774,246400,6,1,27,7,1993
07/07/93,25.11857837,25.24292777,25.11857837,25.20739937,343700,7,2,27,7,1993
08/07/93,25.22514864,25.54490405,25.18962026,25.49161148,248200,8,3,27,7,1993
09/07/93,25.4916187,25.56267548,25.43832612,25.56267548,378200,9,4,27,7,1993
12/07/93,25.52714052,25.5626689,25.49161214,25.54490471,373700,12,0,28,7,1993
13/07/93,25.56266231,25.63371905,25.38502046,25.52713394,389600,13,1,28,7,1993
14/07/93,25.54491002,25.68702357,25.52714583,25.6159668,617300,14,2,28,7,1993
15/07/93,25.59820513,25.59820513,25.45609157,25.50938416,443800,15,3,28,7,1993
16/07/93,25.5271392,25.54490338,25.40278988,25.43831825,216400,16,4,28,7,1993
19/07/93,25.43830976,25.43830976,25.34948885,25.42054558,188200,19,0,29,7,1993
20/07/93,25.40279053,25.49161148,25.27844121,25.49161148,68500,20,1,29,7,1993
21/07/93,25.45608797,25.47385216,25.38503119,25.47385216,142700,21,2,29,7,1993
22/07/93,25.43832671,25.4738551,25.29621315,25.29621315,632400,22,3,29,7,1993
23/07/93,25.34948885,25.42054558,25.33172466,25.42054558,286200,23,4,29,7,1993
26/07/93,25.4916187,25.61596806,25.4916187,25.56267548,121300,26,0,30,7,1993
27/07/93,25.58043309,25.59819728,25.45608376,25.54490471,92800,27,1,30,7,1993
28/07/93,25.49161148,25.54490405,25.4560831,25.49161148,30800,28,2,30,7,1993
29/07/93,25.54491467,25.70479244,25.50938628,25.63373566,331000,29,3,30,7,1993
30/07/93,25.63372499,25.63372499,25.4560831,25.49161148,75300,30,4,30,7,1993
02/08/93,25.52714709,25.65149645,25.52714709,25.56267548,41300,2,0,31,8,1993
03/08/93,25.61595172,25.68700845,25.49160244,25.58042336,81600,3,1,31,8,1993
04/08/93,25.58042336,25.6337159,25.50936662,25.58042336,434000,4,2,31,8,1993
05/08/93,25.5804265,25.5804265,25.49160557,25.52713394,36800,5,3,31,8,1993
06/08/93,25.59820386,25.61596806,25.52714709,25.56267548,402300,6,4,31,8,1993
09/08/93,25.63372383,25.77583733,25.58043126,25.70478058,828200,9,0,32,8,1993
10/08/93,25.68702698,25.70479117,25.65149859,25.68702698,604900,10,1,32,8,1993
11/08/93,25.66926278,25.75808376,25.66926278,25.68702698,542200,11,2,32,8,1993
12/08/93,25.75808034,25.75808034,25.52714583,25.6159668,303700,12,3,32,8,1993
13/08/93,25.63372697,25.66925536,25.63372697,25.65149117,103500,13,4,32,8,1993
16/08/93,25.66925267,25.86465874,25.66925267,25.79360199,241800,16,0,33,8,1993
17/08/93,25.77583827,25.8824234,25.77583827,25.8824234,369300,17,1,33,8,1993
18/08/93,25.97125499,26.07784017,25.95349079,26.02454758,414300,18,2,33,8,1993
19/08/93,26.04231177,26.04231177,25.98901918,26.02454758,28500,19,3,33,8,1993
20/08/93,25.97124823,26.04230499,25.95348403,26.04230499,80700,20,4,33,8,1993
23/08/93,25.93572871,26.0067855,25.93572871,25.9890213,15600,23,0,34,8,1993
